CustomerID,Gender,Age,Country,City
884814508,Male,38,Canada,Toronto
8682766939,Male,150,Singapore,Singapore
5566395633,Male,56,Germany,Jasonburgh
7357367884,Male,53,Singapore,Singapore
3645110122,Female,65,Singapore,Singapore
8952227123,Male,41,Invalid_Country,Tokyo
290288533,Female,40,Germany,Berlin
410956561,Female,150,South Africa,Cape Town
1779486315,Male,76,Canada,Toronto
7760091537,Female,18,France,Paris
9604009374,Male,61,South Africa,Cape Town
2837708938,Male,34,Canada,Invalid_City
8670675689,Male,43,Germany,Berlin
5486270040,Male,20,Invalid_Country,Berlin
9000227733,Female,28,Germany,Berlin
706021409,Female,58,Singapore,Invalid_City
7644485704,nan,-10,Singapore,Singapore
3365804287,Female,24,Brazil,Rio de Janeiro
9406899123,Male,51,Brazil,Rio de Janeiro
5440175723,Male,52,Singapore,Singapore
9506332367,Male,35,Japan,Tokyo
6426878419,Female,71,France,Paris
693146699,Male,49,Singapore,Singapore
113534114,Female,25,Brazil,Rio de Janeiro
5181897614,Male,33,Singapore,Singapore
6883696524,Male,29,Japan,Tokyo
741822175,Male,20,Canada,Toronto
5334962920,Female,33,Germany,New Paul
6219635829,Male,27,France,Paris
6741263905,Female,29,Germany,Berlin
2176604147,Male,-10,Japan,Tokyo
6728676070,Male,150,Japan,Tokyo
7773374691,Female,40,Brazil,Rio de Janeiro
8679747471,Male,69,Singapore,Singapore
9328422847,Male,75,Canada,West Steven
3133001708,Female,57,Singapore,Invalid_City
7570119133,Female,34,South Africa,Cape Town
1686639814,Female,37,South Africa,Cape Town
8204608443,Other,-10,Germany,Berlin
8814107969,Female,70,Canada,Toronto
8640906320,nan,25,Singapore,Singapore
4712253681,Female,42,Japan,Tokyo
538066234,Female,64,Canada,Toronto
7412282577,Female,55,Canada,Toronto
2965739266,Female,66,Germany,Berlin
7966280286,Female,150,South Africa,Cape Town
8982782048,Female,72,Germany,Berlin
9685598981,Female,65,Brazil,Rio de Janeiro
822070249,Male,46,Singapore,Singapore
1936113642,Male,51,Brazil,Rio de Janeiro
645621127,Other,78,Brazil,Invalid_City
1863725392,Female,63,South Africa,Cape Town
9209071579,Female,56,Canada,South Cherylland
1632029061,Male,69,Germany,Berlin
9517796668,nan,79,Brazil,Invalid_City
1480134466,Other,47,Singapore,Singapore
9672771796,Female,18,South Africa,Cape Town
1890920876,Male,19,France,Paris
